date,product,sales
2023-01-01,Widget A,84
2023-01-01,Widget B,345
2023-01-01,Widget C,102
2023-01-01,Widget D,182
2023-01-02,Widget A,112
2023-01-02,Widget B,65
2023-01-02,Widget C,420
2023-01-02,Widget D,429
2023-01-03,Widget A,331
2023-01-03,Widget B,183
2023-01-03,Widget C,394
2023-01-03,Widget D,467
2023-01-04,Widget A,86
2023-01-04,Widget B,220
2023-01-04,Widget C,469
2023-01-04,Widget D,73
2023-01-05,Widget A,145
2023-01-05,Widget B,148
2023-01-05,Widget C,292
2023-01-05,Widget D,199
2023-01-06,Widget A,297
2023-01-06,Widget B,211
2023-01-06,Widget C,207
2023-01-06,Widget D,136
2023-01-07,Widget A,122
2023-01-07,Widget B,126
2023-01-07,Widget C,227
2023-01-07,Widget D,227
2023-01-08,Widget A,153
2023-01-08,Widget B,323
2023-01-08,Widget C,417
2023-01-08,Widget D,105
2023-01-09,Widget A,288
2023-01-09,Widget B,275
2023-01-09,Widget C,237
2023-01-09,Widget D,308
2023-01-10,Widget A,446
2023-01-10,Widget B,222
2023-01-10,Widget C,243
2023-01-10,Widget D,158
2023-01-11,Widget A,102
2023-01-11,Widget B,102
2023-01-11,Widget C,324
2023-01-11,Widget D,268
2023-01-12,Widget A,401
2023-01-12,Widget B,312
2023-01-12,Widget C,359
2023-01-12,Widget D,73
2023-01-13,Widget A,357
2023-01-13,Widget B,150
2023-01-13,Widget C,187
2023-01-13,Widget D,333
2023-01-14,Widget A,202
2023-01-14,Widget B,75
2023-01-14,Widget C,117
2023-01-14,Widget D,486
2023-01-15,Widget A,217
2023-01-15,Widget B,336
2023-01-15,Widget C,287
2023-01-15,Widget D,475
2023-01-16,Widget A,411
2023-01-16,Widget B,255
2023-01-16,Widget C,184
2023-01-16,Widget D,381
2023-01-17,Widget A,291
2023-01-17,Widget B,129
2023-01-17,Widget C,254
2023-01-17,Widget D,209
2023-01-18,Widget A,224
2023-01-18,Widget B,60
2023-01-18,Widget C,465
2023-01-18,Widget D,194
2023-01-19,Widget A,379
2023-01-19,Widget B,483
2023-01-19,Widget C,286
2023-01-19,Widget D,378
2023-01-20,Widget A,396
2023-01-20,Widget B,428
2023-01-20,Widget C,273
2023-01-20,Widget D,392
2023-01-21,Widget A,408
2023-01-21,Widget B,231
2023-01-21,Widget C,119
2023-01-21,Widget D,59
2023-01-22,Widget A,118
2023-01-22,Widget B,433
2023-01-22,Widget C,222
2023-01-22,Widget D,382
2023-01-23,Widget A,179
2023-01-23,Widget B,406
2023-01-23,Widget C,314
2023-01-23,Widget D,222
2023-01-24,Widget A,188
2023-01-24,Widget B,228
2023-01-24,Widget C,155
2023-01-24,Widget D,92
2023-01-25,Widget A,61
2023-01-25,Widget B,332
2023-01-25,Widget C,219
2023-01-25,Widget D,278
2023-01-26,Widget A,134
2023-01-26,Widget B,497
2023-01-26,Widget C,122
2023-01-26,Widget D,225
2023-01-27,Widget A,402
2023-01-27,Widget B,327
2023-01-27,Widget C,445
2023-01-27,Widget D,422
2023-01-28,Widget A,135
2023-01-28,Widget B,254
2023-01-28,Widget C,365
2023-01-28,Widget D,63
2023-01-29,Widget A,471
2023-01-29,Widget B,376
2023-01-29,Widget C,69
2023-01-29,Widget D,404
2023-01-30,Widget A,409
2023-01-30,Widget B,421
2023-01-30,Widget C,168
2023-01-30,Widget D,461
2023-01-31,Widget A,195
2023-01-31,Widget B,187
2023-01-31,Widget C,114
2023-01-31,Widget D,444
